y_true,y_score
1,0.558775
1,0.418976
1,0.883780
1,0.748485
1,0.657631
1,0.972694
1,0.813008
1,0.844760
1,0.606010
1,0.815250
1,0.869647
1,0.791253
1,0.656706
1,0.948223
1,0.697775
1,0.929889
1,0.697569
1,0.914081
1,0.765988
1,0.848686
1,0.484236
1,0.700562
1,0.873873
1,0.372829
1,0.946977
1,0.779815
1,0.807078
1,0.741855
1,0.944560
1,0.670083
1,0.565570
1,0.525462
1,0.909250
1,0.789228
1,0.698960
1,0.871395
1,0.483331
1,0.425820
1,0.921851
1,0.491390
1,0.237126
1,0.511741
1,0.926231
1,0.955423
1,0.840766
1,0.949037
1,0.411417
1,0.820579
1,0.692477
1,0.647731
1,0.610764
1,0.761592
1,0.738560
1,0.825328
1,0.605281
1,0.649665
1,0.891942
1,0.819264
1,0.830923
1,0.616735
1,0.699467
1,0.643012
1,0.930688
1,0.697795
1,0.584983
1,0.550420
1,0.577058
1,0.708754
1,0.778820
1,0.750580
1,0.624073
1,0.586511
1,0.820748
1,0.789880
1,1.000000
1,0.781309
1,0.667454
1,0.912721
1,0.872589
1,0.931310
1,0.630931
1,0.675493
1,0.690437
1,0.642608
1,0.593635
1,0.807699
1,0.867309
1,0.885719
1,0.838063
1,0.418336
1,0.778142
1,0.991297
1,0.730605
1,0.800216
1,0.595250
1,0.724804
1,0.706508
1,0.944121
1,0.696018
1,0.624690
1,0.588659
1,0.502970
1,0.550253
1,0.559576
1,0.635994
1,0.991897
1,0.440941
1,0.626321
1,0.553598
1,0.859002
1,0.895629
1,0.820441
1,0.650456
1,0.648917
1,0.631830
1,0.315696
1,0.789185
1,0.914290
1,0.467694
1,0.403424
1,0.886231
1,0.838286
1,0.693349
1,0.799354
1,0.783152
1,0.604154
1,0.895459
1,0.760173
1,0.319199
1,0.862482
1,0.749853
1,0.897956
1,0.673192
1,0.747170
1,0.540474
1,0.560361
1,0.769138
1,0.922414
1,0.801261
1,0.703859
1,0.956135
1,0.853491
1,0.707053
1,0.476963
1,0.616098
1,0.555968
1,0.734455
1,0.458775
1,0.739448
1,0.735609
1,0.960026
1,0.871577
1,0.875054
1,0.873320
1,0.570940
1,0.711505
1,0.828568
1,0.911771
1,0.369522
1,0.630824
1,0.725372
1,0.699265
1,0.421360
1,0.924987
1,0.813273
1,0.906219
1,0.603766
1,0.862418
1,0.554557
1,0.687235
1,0.776262
1,0.797874
1,0.917857
1,0.911770
1,0.476787
1,0.800763
1,0.703102
1,0.723675
1,0.863127
1,0.492714
1,0.419482
1,0.842443
1,0.778780
1,0.491671
1,0.773475
1,0.876891
1,0.663654
1,0.694096
1,0.657882
1,0.460301
1,0.822985
1,0.438768
1,0.904030
1,0.703555
1,0.671360
1,0.586329
1,0.816969
1,0.721040
1,0.999465
1,0.849101
1,0.974931
1,0.884194
1,0.804712
1,0.960373
1,0.853508
1,0.980012
1,0.934295
1,0.786577
1,0.837337
1,0.999960
1,0.703410
1,0.839987
1,0.793107
1,0.763477
1,0.618374
1,0.526125
1,0.680608
1,0.867880
1,0.925128
1,0.557054
1,0.554291
1,0.506741
1,0.769526
1,0.720132
1,0.695914
1,0.679549
1,0.776557
1,0.591906
1,0.547924
1,0.622909
1,0.776016
1,0.997354
1,0.472144
1,0.609503
1,0.768266
1,0.493736
1,0.819907
1,0.406382
1,0.750876
1,0.652980
1,0.884024
1,0.899525
1,0.530059
1,0.486138
1,0.882147
1,0.873363
1,0.578491
1,0.818642
1,0.510500
1,0.894923
1,0.619869
1,0.834888
1,0.816770
1,0.493938
1,0.688983
1,0.770425
1,0.730473
1,0.515642
1,0.938640
1,0.697182
1,0.901244
1,0.539652
1,0.642414
1,0.820859
1,0.611352
1,0.632176
1,0.824259
1,0.635897
1,0.831713
1,0.660429
1,0.910857
1,0.904429
1,0.700772
1,0.885956
1,0.803076
1,0.945347
1,0.619035
1,0.569888
1,0.864755
1,0.679755
1,0.564010
1,0.582004
1,0.622466
1,0.715238
1,0.664903
1,0.623849
1,0.566599
1,0.885094
1,0.596514
1,0.937241
1,0.962592
1,0.852621
1,0.869378
1,0.570213
1,0.333476
1,0.992284
1,0.926733
1,0.942406
1,0.507551
1,0.651769
1,0.731808
1,0.643724
1,0.776361
1,0.435323
1,0.756026
1,0.725365
1,0.714742
1,0.788640
1,0.534074
1,0.871780
1,0.783136
1,0.973874
1,0.746219
1,0.724146
1,0.734053
1,0.740686
1,0.448232
1,0.852576
1,0.958725
1,0.777156
1,0.697836
1,0.814740
1,0.820110
