sample_id,y_true,y_pred_basic,y_pred_opt
1,17,17,17
2,12,12,13
3,10,10,10
4,6,6,6
5,17,17,17
6,7,7,7
7,9,9,10
8,13,13,13
9,11,11,11
10,9,9,9
11,16,16,16
12,19,19,19
13,13,13,13
14,11,11,11
15,17,17,17
16,19,17,18
17,7,7,7
18,11,9,11
19,13,13,13
20,14,14,14
21,19,19,19
22,18,18,18
23,8,8,8
24,15,15,15
25,17,17,17
26,19,17,17
27,19,21,19
28,17,17,17
29,9,9,9
30,18,18,18
31,13,13,13
32,14,14,14
33,14,14,14
34,12,12,12
35,7,7,7
36,5,5,5
37,9,9,9
38,13,13,13
39,16,16,16
40,10,10,10
41,10,10,10
42,6,6,6
43,18,18,18
44,7,7,7
45,19,19,19
46,5,5,5
47,18,15,16
48,16,16,16
49,18,14,18
50,20,20,20
51,12,12,12
52,18,16,18
53,10,10,10
54,17,17,17
55,18,18,18
56,11,11,11
57,7,7,7
58,7,7,7
59,13,13,13
60,5,5,5
61,12,12,12
62,18,18,18
63,20,17,20
64,14,14,14
65,5,5,5
66,13,14,13
67,9,9,9
68,10,10,10
69,16,13,16
70,20,20,20
71,6,6,6
72,19,15,15
73,14,14,14
74,7,9,7
75,14,14,14
76,12,12,12
77,13,13,13
78,16,16,16
79,11,11,11
80,12,12,12
81,14,14,14
82,18,20,18
83,6,6,6
84,19,16,16
85,16,16,16
86,9,9,9
87,11,11,11
88,7,7,7
89,20,15,15
90,8,8,8
91,10,10,10
92,15,15,15
93,12,12,12
94,10,10,10
95,15,15,15
96,14,14,14
97,12,12,12
98,8,8,8
99,18,18,18
100,10,10,10
101,6,6,6
102,5,5,5
103,5,5,5
104,19,20,19
105,19,19,19
106,16,16,16
107,5,5,5
108,20,16,17
109,9,9,9
110,18,16,16
111,16,16,16
112,18,16,16
113,9,9,9
114,15,15,15
115,11,11,11
116,10,10,10
117,11,11,11
118,19,19,19
119,18,15,18
120,13,11,13
