sample_id,y_true,y_pred_basic,y_pred_opt
1,6,6,6
2,6,6,6
3,14,14,14
4,11,11,11
5,13,13,14
6,13,13,13
7,5,5,5
8,9,9,9
9,14,14,14
10,20,20,20
11,5,5,5
12,17,17,17
13,13,13,13
14,19,19,19
15,14,14,14
16,20,16,16
17,5,5,5
18,12,12,12
19,6,6,6
20,11,11,11
21,5,5,5
22,17,17,17
23,20,16,16
24,18,18,18
25,7,7,7
26,9,9,9
27,17,17,17
28,7,7,7
29,20,17,18
30,12,12,12
31,14,14,14
32,14,14,14
33,10,12,10
34,8,8,8
35,9,9,9
36,7,7,7
37,11,11,11
38,9,9,9
39,8,8,8
40,16,16,16
41,13,13,13
42,8,8,8
43,15,15,15
44,8,8,8
45,13,13,13
46,6,6,6
47,18,18,18
48,10,11,11
49,17,17,17
50,6,6,6
51,8,8,8
52,17,14,17
53,8,8,8
54,11,11,11
55,18,15,18
56,5,5,5
57,7,7,7
58,11,11,11
59,11,11,11
60,18,15,18
61,9,9,9
62,10,10,10
63,14,14,14
64,10,12,10
65,12,12,12
66,20,17,20
67,15,15,15
68,13,13,13
69,8,8,8
70,13,13,13
71,18,14,18
72,15,15,15
73,20,17,20
74,5,5,5
75,15,15,15
76,6,6,6
77,9,9,9
78,6,6,6
79,13,13,13
80,15,15,15
81,15,15,15
82,12,12,12
83,9,9,9
84,19,16,19
85,19,19,19
86,17,17,17
87,15,15,15
88,8,8,8
89,18,18,18
90,5,5,5
91,8,8,8
92,19,15,16
93,14,14,14
94,9,9,9
95,19,16,19
96,14,14,14
97,7,7,7
98,5,5,5
99,11,11,11
100,17,17,17
101,15,15,15
102,7,7,7
103,5,5,5
104,6,6,6
105,7,7,7
106,15,15,15
107,9,9,9
108,17,17,17
109,16,16,16
110,6,6,6
111,18,15,15
112,9,9,8
113,16,16,16
114,8,8,8
115,18,14,15
116,7,7,7
117,20,17,17
118,11,11,11
119,13,13,13
120,18,20,18
