sample_id,y_true,y_pred_basic,y_pred_opt
1,7,7,7
2,10,10,10
3,18,18,18
4,6,6,6
5,13,13,13
6,15,15,15
7,5,5,5
8,16,16,16
9,10,10,10
10,20,20,20
11,7,7,7
12,14,14,14
13,7,7,7
14,12,12,12
15,17,17,17
16,18,18,18
17,19,16,16
18,20,20,20
19,5,5,5
20,10,8,10
21,7,7,7
22,12,12,12
23,12,12,12
24,13,13,13
25,12,12,12
26,8,8,8
27,12,12,12
28,10,10,10
29,10,10,10
30,9,9,9
31,18,15,18
32,10,10,10
33,13,13,13
34,10,10,10
35,15,15,15
36,15,15,15
37,10,10,10
38,18,14,14
39,18,17,17
40,11,11,11
41,14,14,14
42,7,7,7
43,19,17,17
44,20,17,20
45,6,6,6
46,9,9,9
47,20,16,16
48,12,12,12
49,7,7,7
50,19,19,19
51,17,17,17
52,17,17,17
53,16,16,16
54,17,17,17
55,7,7,7
56,6,6,6
57,12,12,12
58,17,17,17
59,7,7,7
60,11,11,11
61,11,11,11
62,7,7,7
63,17,17,17
64,7,7,7
65,12,12,12
66,17,17,17
67,20,18,16
68,14,14,14
69,18,18,19
70,13,11,13
71,17,17,17
72,20,22,20
73,13,13,13
74,18,18,18
75,14,14,14
76,20,20,20
77,9,9,9
78,16,16,16
79,17,17,17
80,17,17,17
81,16,16,16
82,16,14,16
83,14,14,14
84,19,19,19
85,17,17,17
86,9,9,9
87,19,15,19
88,17,17,17
89,12,12,12
90,11,11,11
91,17,17,17
92,20,20,20
93,17,15,17
94,11,11,11
95,7,7,7
96,12,12,12
97,16,16,16
98,17,17,17
99,7,7,7
100,18,16,18
101,12,12,12
102,5,5,5
103,6,6,6
104,16,16,16
105,8,8,8
106,12,12,12
107,8,8,8
108,14,14,14
109,6,6,6
110,10,10,10
111,9,9,9
112,17,17,17
113,11,11,11
114,19,15,15
115,19,19,19
116,17,14,17
117,11,11,11
118,19,16,19
119,8,8,8
120,13,13,13
